trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
416,False,"{'a': 0.9, 'e': 5.778476331360947e-06}",20,12,14.720298082057745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.9, 'e': 5.750795047415305e-06}",20,9,23.02269992417208,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.9, 'e': 5.7233121952336254e-06}",20,4,24.751699079118243,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.9, 'e': 5.696025882741611e-06}",20,0,30.852033437819873,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
420,False,"{'a': 0.9, 'e': 5.668934240362812e-06}",30,17,23.234147840408237,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.9, 'e': 5.6420354206983716e-06}",35,9,37.87861589200791,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.9, 'e': 5.61532759821208e-06}",35,0,49.210760411233736,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
423,False,"{'a': 0.9, 'e': 5.5888089689206334e-06}",20,16,6.819377013180576,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.9, 'e': 5.562477750089e-06}",20,10,21.1850536043761,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.9, 'e': 5.536332179930796e-06}",20,6,22.49489140538169,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.9, 'e': 5.510370517313584e-06}",25,12,21.92058131047705,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.9, 'e': 5.484591041468993e-06}",25,3,31.96525151741734,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.9, 'e': 5.458992051707573e-06}",25,9,28.7804557223514,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.9, 'e': 5.433571867138301e-06}",20,5,27.87263503446009,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.9, 'e': 5.408328826392644e-06}",35,13,43.03639825511202,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.9, 'e': 5.383261287353104e-06}",25,15,18.733678245103473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.9, 'e': 5.358367626886145e-06}",20,13,12.869648981197084,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.9, 'e': 5.333646240579448e-06}",25,12,25.628062905670525,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.9, 'e': 5.309095542483383e-06}",25,15,18.10614135342324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.9, 'e': 5.2847139648566525e-06}",20,6,17.65125377098977,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.9, 'e': 5.2604999579160005e-06}",20,14,13.428276730995883,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.9, 'e': 5.236451989589934e-06}",20,12,3.0034633072762764,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
438,False,"{'a': 0.9, 'e': 5.21256854527637e-06}",30,14,-11.0497594313672,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
439,False,"{'a': 0.9, 'e': 5.188848127604153e-06}",25,5,-6.874886571400591,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
440,False,"{'a': 0.9, 'e': 5.1652892561983475e-06}",20,4,26.906521473235156,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.9, 'e': 5.141890467449262e-06}",30,19,19.510926520978693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.9, 'e': 5.11865031428513e-06}",30,0,37.0162084709414,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
443,False,"{'a': 0.9, 'e': 5.095567365948362e-06}",30,20,19.365831896402693,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.9, 'e': 5.072640207775343e-06}",30,19,20.991822359539533,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.9, 'e': 5.049867440979674e-06}",25,14,18.466325707196948,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.9, 'e': 5.027247682438818e-06}",20,1,4.283320177838674,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
447,False,"{'a': 0.9, 'e': 5.004779564484083e-06}",20,13,-10.142615649558088,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
448,False,"{'a': 0.9, 'e': 4.982461734693877e-06}",20,8,15.51414384888474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
